Azimuth,Slope,Metric
90.0,10.0,4985.331274074479
90.0,14.210526315789473,5008.454899948044
90.0,18.421052631578945,5018.415630342078
90.0,22.63157894736842,5016.993687758628
90.0,26.842105263157894,5006.645537498373
90.0,31.052631578947366,4986.962277092075
90.0,35.26315789473684,4957.570613077767
90.0,39.473684210526315,4922.038352029303
90.0,43.68421052631579,4875.203725319124
90.0,47.89473684210526,4820.299218399385
90.0,52.10526315789473,4755.653530467339
90.0,56.315789473684205,4680.050401588714
90.0,60.526315789473685,4596.04170900285
90.0,64.73684210526315,4502.401148137702
90.0,68.94736842105263,4396.892902247014
90.0,73.15789473684211,4284.086958338589
90.0,77.36842105263158,4167.245314943648
90.0,81.57894736842105,4039.242136064697
90.0,85.78947368421052,3899.290132264628
90.0,90.0,3753.002375618208
99.47368421052632,10.0,5051.345502559123
99.47368421052632,14.210526315789473,5101.553887716295
99.47368421052632,18.421052631578945,5136.973884302003
99.47368421052632,22.63157894736842,5158.24220174038
99.47368421052632,26.842105263157894,5168.024185291397
99.47368421052632,31.052631578947366,5167.3059607058185
99.47368421052632,35.26315789473684,5153.662867540302
99.47368421052632,39.473684210526315,5131.005388405692
99.47368421052632,43.68421052631579,5095.463446496762
99.47368421052632,47.89473684210526,5046.145822060313
99.47368421052632,52.10526315789473,4988.34377748206
99.47368421052632,56.315789473684205,4916.076316619246
99.47368421052632,60.526315789473685,4831.898412686441
99.47368421052632,64.73684210526315,4739.675374346892
99.47368421052632,68.94736842105263,4636.700985565332
99.47368421052632,73.15789473684211,4518.4778276786
99.47368421052632,77.36842105263158,4387.141977076649
99.47368421052632,81.57894736842105,4254.895272826157
99.47368421052632,85.78947368421052,4114.613850323607
99.47368421052632,90.0,3961.045395337779
108.94736842105263,10.0,5110.789880214931
108.94736842105263,14.210526315789473,5185.267983977221
108.94736842105263,18.421052631578945,5243.739161681302
108.94736842105263,22.63157894736842,5286.331115447119
108.94736842105263,26.842105263157894,5313.886489591105
108.94736842105263,31.052631578947366,5328.960052742498
108.94736842105263,35.26315789473684,5328.3721137752445
108.94736842105263,39.473684210526315,5315.401324380527
108.94736842105263,43.68421052631579,5289.560818019824
108.94736842105263,47.89473684210526,5248.39087825686
108.94736842105263,52.10526315789473,5192.929022767929
108.94736842105263,56.315789473684205,5127.360460764579
108.94736842105263,60.526315789473685,5044.476139397946
108.94736842105263,64.73684210526315,4944.911572801171
108.94736842105263,68.94736842105263,4837.157524178665
108.94736842105263,73.15789473684211,4722.080966502965
108.94736842105263,77.36842105263158,4590.494931003133
108.94736842105263,81.57894736842105,4443.140351926691
108.94736842105263,85.78947368421052,4284.056574887763
108.94736842105263,90.0,4126.752093137373
118.42105263157895,10.0,5162.221975767526
118.42105263157895,14.210526315789473,5257.348046544246
118.42105263157895,18.421052631578945,5335.461750770144
118.42105263157895,22.63157894736842,5396.549137388833
118.42105263157895,26.842105263157894,5439.923051369103
118.42105263157895,31.052631578947366,5468.996594224205
118.42105263157895,35.26315789473684,5480.638648899423
118.42105263157895,39.473684210526315,5475.484882956258
118.42105263157895,43.68421052631579,5457.038634374712
118.42105263157895,47.89473684210526,5421.724011110168
118.42105263157895,52.10526315789473,5368.030086199406
118.42105263157895,56.315789473684205,5300.1809901510815
118.42105263157895,60.526315789473685,5221.55884320756
118.42105263157895,64.73684210526315,5125.781544186609
118.42105263157895,68.94736842105263,5011.879034344692
118.42105263157895,73.15789473684211,4881.451970630248
118.42105263157895,77.36842105263158,4745.34227223181
118.42105263157895,81.57894736842105,4598.643033938144
118.42105263157895,85.78947368421052,4436.47533713733
118.42105263157895,90.0,4260.481724788695
127.89473684210526,10.0,5204.351706337728
127.89473684210526,14.210526315789473,5316.125076936986
127.89473684210526,18.421052631578945,5409.6338132023275
127.89473684210526,22.63157894736842,5485.770814295259
127.89473684210526,26.842105263157894,5542.518393775617
127.89473684210526,31.052631578947366,5581.333103183263
127.89473684210526,35.26315789473684,5603.849533654231
127.89473684210526,39.473684210526315,5606.328036355958
127.89473684210526,43.68421052631579,5590.800061578429
127.89473684210526,47.89473684210526,5560.643407664372
127.89473684210526,52.10526315789473,5513.0942417867755
127.89473684210526,56.315789473684205,5445.354765126539
127.89473684210526,60.526315789473685,5358.157169459291
127.89473684210526,64.73684210526315,5257.44124580153
127.89473684210526,68.94736842105263,5146.916186005193
127.89473684210526,73.15789473684211,5018.312980522735
127.89473684210526,77.36842105263158,4871.854755953446
127.89473684210526,81.57894736842105,4709.590962726156
127.89473684210526,85.78947368421052,4538.610664055992
127.89473684210526,90.0,4358.542842410343
137.36842105263156,10.0,5236.456338094927
137.36842105263156,14.210526315789473,5360.698211623409
137.36842105263156,18.421052631578945,5465.491039574986
137.36842105263156,22.63157894736842,5552.071429131508
137.36842105263156,26.842105263157894,5618.781733547222
137.36842105263156,31.052631578947366,5665.28370046676
137.36842105263156,35.26315789473684,5693.281620510454
137.36842105263156,39.473684210526315,5703.083512161172
137.36842105263156,43.68421052631579,5691.5351130009685
137.36842105263156,47.89473684210526,5659.068431468239
137.36842105263156,52.10526315789473,5610.229500723333
137.36842105263156,56.315789473684205,5547.0670304893065
137.36842105263156,60.526315789473685,5463.5193026682955
137.36842105263156,64.73684210526315,5359.635519892756
137.36842105263156,68.94736842105263,5235.904126374289
137.36842105263156,73.15789473684211,5096.8362264666
137.36842105263156,77.36842105263158,4948.6325335714855
137.36842105263156,81.57894736842105,4784.547621733336
137.36842105263156,85.78947368421052,4603.878046904932
137.36842105263156,90.0,4410.452101729986
146.8421052631579,10.0,5257.73249156479
146.8421052631579,14.210526315789473,5390.234795164559
146.8421052631579,18.421052631578945,5502.683867273943
146.8421052631579,22.63157894736842,5595.257903735339
146.8421052631579,26.842105263157894,5668.44544198979
146.8421052631579,31.052631578947366,5720.3875649718775
146.8421052631579,35.26315789473684,5751.420992296194
146.8421052631579,39.473684210526315,5762.254854034113
146.8421052631579,43.68421052631579,5755.19152116135
146.8421052631579,47.89473684210526,5726.565704995353
146.8421052631579,52.10526315789473,5676.236220021219
146.8421052631579,56.315789473684205,5604.544754407843
146.8421052631579,60.526315789473685,5514.2188493957365
146.8421052631579,64.73684210526315,5410.976981077133
146.8421052631579,68.94736842105263,5288.8957949339765
146.8421052631579,73.15789473684211,5147.357060189728
146.8421052631579,77.36842105263158,4986.976231693716
146.8421052631579,81.57894736842105,4811.47424889625
146.8421052631579,85.78947368421052,4623.611177614474
146.8421052631579,90.0,4422.571070503565
156.31578947368422,10.0,5267.532375178585
156.31578947368422,14.210526315789473,5403.397951238873
156.31578947368422,18.421052631578945,5519.238750318596
156.31578947368422,22.63157894736842,5614.2680638150105
156.31578947368422,26.842105263157894,5688.781893830892
156.31578947368422,31.052631578947366,5743.117934564605
156.31578947368422,35.26315789473684,5775.522221798422
156.31578947368422,39.473684210526315,5785.963458951245
156.31578947368422,43.68421052631579,5774.834207574813
156.31578947368422,47.89473684210526,5743.764822730629
156.31578947368422,52.10526315789473,5694.725453961454
156.31578947368422,56.315789473684205,5624.574184882671
156.31578947368422,60.526315789473685,5533.39528153584
156.31578947368422,64.73684210526315,5421.545703965527
156.31578947368422,68.94736842105263,5289.599865807615
156.31578947368422,73.15789473684211,5141.740434228155
156.31578947368422,77.36842105263158,4978.649792159122
156.31578947368422,81.57894736842105,4799.3685162980855
156.31578947368422,85.78947368421052,4603.531540086245
156.31578947368422,90.0,4393.543013278596
165.78947368421052,10.0,5265.964979385567
165.78947368421052,14.210526315789473,5400.611293652909
165.78947368421052,18.421052631578945,5515.447932266946
165.78947368421052,22.63157894736842,5609.723918406574
165.78947368421052,26.842105263157894,5683.331227728336
165.78947368421052,31.052631578947366,5735.861241577121
165.78947368421052,35.26315789473684,5767.749121638323
165.78947368421052,39.473684210526315,5778.228491631392
165.78947368421052,43.68421052631579,5766.75259967462
165.78947368421052,47.89473684210526,5733.380355114327
165.78947368421052,52.10526315789473,5678.289124654763
165.78947368421052,56.315789473684205,5601.754048024863
165.78947368421052,60.526315789473685,5505.972797059329
165.78947368421052,64.73684210526315,5392.394241849815
165.78947368421052,68.94736842105263,5259.271312442892
165.78947368421052,73.15789473684211,5106.636979510998
165.78947368421052,77.36842105263158,4936.119232581196
165.78947368421052,81.57894736842105,4748.77781240793
165.78947368421052,85.78947368421052,4547.979712635991
165.78947368421052,90.0,4333.345432423133
175.26315789473682,10.0,5253.28781603965
175.26315789473682,14.210526315789473,5382.403524836426
175.26315789473682,18.421052631578945,5492.606258519932
175.26315789473682,22.63157894736842,5582.468017653821
175.26315789473682,26.842105263157894,5651.2133261457775
175.26315789473682,31.052631578947366,5698.532816339254
175.26315789473682,35.26315789473684,5724.229703890938
175.26315789473682,39.473684210526315,5728.385961510628
175.26315789473682,43.68421052631579,5711.395057091125
175.26315789473682,47.89473684210526,5674.88797130228
175.26315789473682,52.10526315789473,5618.326827148255
