Year,Cost_No_Sys_Annual,Cost_No_Sys_Cumulative,PV_Production_kWh,Export_kWh,Degradation_Factor,Cost_Import,Revenue_Export,Cost_Operation,Cost_Daily,Cost_Replacement,Cost_System_Annual,Cost_System_Cumulative,Cost_No_Sys_Annual_NPV,Cost_System_Annual_NPV,Cost_No_Sys_Cumulative_NPV,Cost_System_Cumulative_NPV,Savings_Cumulative,Savings_Cumulative_NPV
11,1230.3371514539779,12281.945200727261,2636.1528516975054,552.4043274540494,0.9511101304657719,647.9265018600747,33.14425964724296,60.94972099973786,133.47988898942592,0.0,809.2118522019956,13471.236581123114,1230.3371514539779,809.2118522019956,12281.945200727261,13471.236581123114,-1189.2913803958527,-1189.2913803958527
12,1254.9438944830574,13536.88909521032,2622.9720874390173,551.1569345904873,0.946354579813443,663.4414293950906,33.06941607542923,62.16871541973262,136.14948676921443,0.0,828.6902155086084,14299.926796631722,1254.9438944830574,828.6902155086084,13536.88909521032,14299.926796631722,-763.0377014214027,-763.0377014214027
13,1280.0427723727187,14816.931867583038,2609.8572270018226,549.7642431312669,0.9416228069143757,679.26899261668,32.98585458787601,63.41208972812728,138.87247650459872,0.0,848.5677042615299,15148.494500893252,1280.0427723727187,848.5677042615299,14816.931867583038,15148.494500893252,-331.56263331021364,-331.56263331021364
14,1305.6436278201732,16122.57549540321,2596.807940866814,548.2399990803129,0.9369146928798039,695.4214911516839,32.89439994481877,64.68033152268983,141.6499260346907,0.0,868.8573487642456,16017.351849657498,1305.6436278201732,868.8573487642456,16122.57549540321,16017.351849657498,105.22364574571293,105.22364574571293
15,1331.7565003765765,17454.331995779787,2583.8239011624796,448.7791139798886,0.9322301194154049,689.289342279489,26.926746838793317,65.97393815314362,144.48292455538453,3752.597602150809,4625.417060300033,20642.76890995753,1331.7565003765765,4625.417060300033,17454.331995779787,20642.76890995753,-3188.4369141777424,-3188.4369141777424
16,1358.391630384108,18812.723626163894,2570.904781656667,420.6184576690919,0.9275689688183278,700.1474308836785,25.237107460145513,67.2934169162065,147.37258304649222,0.0,889.5763233862317,21532.345233343764,1358.391630384108,889.5763233862317,18812.723626163894,21532.345233343764,-2719.62160717987,-2719.62160717987
17,1385.5594629917903,20198.283089155684,2558.0502577483835,425.51278852110556,0.9229311239742362,718.3431949821091,25.530767311266334,68.63928525453062,150.32003470742205,0.0,911.7717476327955,22444.11698097656,1385.5594629917903,911.7717476327955,20198.283089155684,22444.11698097656,-2245.8338918208756,-2245.8338918208756
18,1413.2706522516262,21611.55374140731,2545.2600064596418,428.50403372793505,0.918316468354365,736.5133888861293,25.710242023676102,70.01207095962124,153.3264354015705,0.0,934.141653223645,23378.258634200203,1413.2706522516262,934.141653223645,21611.55374140731,23378.258634200203,-1766.7048927928918,-1766.7048927928918
19,1441.5360652966588,23053.08980670397,2532.533706427343,430.43816859881287,0.9137248860125932,754.8467243951164,25.82629011592877,71.41231237881367,156.39296410960193,0.0,956.8257107676033,24335.084344967807,1441.5360652966588,956.8257107676033,23053.08980670397,24335.084344967807,-1281.9945382638361,-1281.9945382638361
20,1470.366786602592,24523.456593306564,2519.871037895207,431.6439717969313,0.9091562615825302,773.4243844763341,25.898638307815876,72.84055862638994,159.52082339179395,0.0,979.8871281867021,25314.97147315451,1470.366786602592,979.8871281867021,24523.456593306564,25314.97147315451,-791.5148798479458,-791.5148798479458
