Year,Cost_No_Sys_Annual,Cost_No_Sys_Cumulative,PV_Production_kWh,Export_kWh,Degradation_Factor,Cost_Import,Revenue_Export,Cost_Operation,Cost_Daily,Cost_Replacement,Cost_System_Annual,Cost_System_Cumulative,Cost_No_Sys_Annual_NPV,Cost_System_Annual_NPV,Cost_No_Sys_Cumulative_NPV,Cost_System_Cumulative_NPV,Savings_Cumulative,Savings_Cumulative_NPV
11,1230.4518280023444,12283.089969119552,3934.1741287362606,1264.4466153028823,0.9511101304657719,522.4556161086264,75.86679691817294,60.94972099973786,133.47988898942592,0.0,641.0184291796172,11682.262424657889,1230.4518280023444,641.0184291796172,12283.089969119552,11682.262424657889,600.8275444616629,600.8275444616629
12,1255.060864562391,13538.150833681942,3914.5032580925795,1261.9985380448843,0.946354579813443,536.5777080208919,75.71991228269306,62.16871541973262,136.14948676921443,0.0,659.175997927146,12341.438422585035,1255.060864562391,659.175997927146,13538.150833681942,12341.438422585035,1196.712411096907,1196.712411096907
13,1280.162081853639,14818.312915535582,3894.9307418021167,1113.9283546643876,0.9416228069143757,518.9961009692543,66.83570127986326,63.41208972812728,138.87247650459872,3606.879663735879,4261.324629657996,16602.763052243034,1280.162081853639,4261.324629657996,14818.312915535582,16602.763052243034,-1784.4501367074517,-1784.4501367074517
14,1305.7653234907118,16124.078239026294,3875.4560880931062,1039.3083471367033,0.9369146928798039,517.780419850446,62.358500828202196,64.68033152268983,141.6499260346907,0.0,661.7521765796243,17264.515228822656,1305.7653234907118,661.7521765796243,16124.078239026294,17264.515228822656,-1140.4369897963625,-1140.4369897963625
15,1331.880629960526,17455.95886898682,3856.07880765264,1050.8068685232379,0.9322301194154049,535.1039610439425,63.04841211139427,65.97393815314362,144.48292455538453,0.0,682.5124116410764,17947.027640463733,1331.880629960526,682.5124116410764,17455.95886898682,17947.027640463733,-491.06877147691193,-491.06877147691193
16,1358.5182425597366,18814.47711154656,3836.7984136143773,1057.7851717771864,0.9275689688183278,551.8501366893814,63.467110306631184,67.2934169162065,147.37258304649222,0.0,703.049026345449,18650.076666809182,1358.5182425597366,703.049026345449,18814.47711154656,18650.076666809182,164.40044473737726,164.40044473737726
17,1385.6886074109314,20200.16571895749,3817.6144215463055,1062.316912848437,0.9229311239742362,568.4614308701947,63.73901477090621,68.63928525453062,150.32003470742205,0.0,723.681736061241,19373.758402870422,1385.6886074109314,723.681736061241,20200.16571895749,19373.758402870422,826.4073160870685,826.4073160870685
18,1413.4023795591502,21613.56809851664,3798.526349438574,1065.2163550927578,0.918316468354365,585.0959426800061,63.91298130556547,70.01207095962124,153.3264354015705,0.0,744.5214677356324,20118.279870606057,1413.4023795591502,744.5214677356324,21613.56809851664,20118.279870606057,1495.2882279105834,1495.2882279105834
19,1441.6704271503331,23055.238525666973,3779.533717691381,1066.9303943207096,0.9137248860125932,601.8634589521822,64.01582365924257,71.41231237881367,156.39296410960193,0.0,765.6529117813553,20883.932782387412,1441.6704271503331,765.6529117813553,23055.238525666973,20883.932782387412,2171.3057432795613,2171.3057432795613
20,1470.5038356933399,24525.742361360313,3760.6360491029236,1067.7374782229933,0.9091562615825302,618.8160503354773,64.0642486933796,72.84055862638994,159.52082339179395,0.0,787.1131836602815,21671.04596604769,1470.5038356933399,787.1131836602815,24525.742361360313,21671.04596604769,2854.6963953126215,2854.6963953126215
