Datetime,SOH,Cycle_Degradation,Calendar_Degradation,Cumulative_Cycle_Degradation,Cumulative_Calendar_Degradation,Cumulative_FEC,Cumulative_Calendar_Seconds,Total_Degradation,Mean_SOC_Absolute,Year,Global_Cycle_Degradation,Global_Calendar_Degradation,Global_Total_Degradation
2023-01-01 22:45:00+00:00,99.85779646170971,0.0007200744663369306,0.0007019609165659217,0.0007200744663369306,0.0007019609165659217,0.39282940000000005,86400.0,0.0014220353829028642,0.2075049520340008,1,0.0007200744663369306,0.0007019609165659217,0.1422035382902891
2023-01-02 22:45:00+00:00,99.81519064263117,3.728586698302448e-05,0.00038877232380242174,0.0007573603333199551,0.0010907332403683435,0.4827747448388812,172800.0,0.0018480935736883142,0.10246694664585432,1,0.0007573603333199551,0.0010907332403683435,0.18480935736883453
2023-01-03 22:45:00+00:00,99.78274601980988,0.0,0.00032444622821287665,0.0007573603333199551,0.0014151794685812202,0.4827747448388812,259200.0,0.002172539801901241,0.09810384999999999,1,0.0007573603333199551,0.0014151794685812202,0.21725398019012232
2023-01-04 22:45:00+00:00,99.75367013112427,0.0,0.00029075888685618035,0.0007573603333199551,0.0017059383554374006,0.4827747448388812,345600.0,0.002463298688757387,0.09810467500000002,1,0.0007573603333199551,0.0017059383554374006,0.24632986887573338
2023-01-05 22:45:00+00:00,99.72677533805745,0.0,0.0002689479306681222,0.0007573603333199551,0.001974886286105523,0.4827747448388812,432000.0,0.0027322466194255046,0.09814545000000001,1,0.0007573603333199551,0.001974886286105523,0.2732246619425496
2023-01-06 22:45:00+00:00,99.7015366897228,0.0,0.0002523864833464581,0.0007573603333199551,0.002227272769451981,0.4827747448388812,518400.0,0.002984633102771972,0.09816085000000001,1,0.0007573603333199551,0.002227272769451981,0.2984633102771994
2023-01-07 22:45:00+00:00,99.67770305613382,0.0,0.00023833633588991074,0.0007573603333199551,0.002465609105341892,0.4827747448388812,604800.0,0.003222969438661849,0.098121475,1,0.0007573603333199551,0.002465609105341892,0.3222969438661778
2023-01-08 22:45:00+00:00,99.65499146200251,0.0,0.0002271159413129467,0.0007573603333199551,0.002692725046654839,0.4827747448388812,691200.0,0.003450085379974821,0.09809722500000002,1,0.0007573603333199551,0.002692725046654839,0.34500853799748654
2023-01-09 22:45:00+00:00,99.63311019404392,0.0,0.00021881267958589378,0.0007573603333199551,0.0029115377262407325,0.4827747448388812,777600.0,0.0036688980595607212,0.098133625,1,0.0007573603333199551,0.0029115377262407325,0.36688980595607745
2023-01-10 22:45:00+00:00,99.609856160606,2.1069906273776657e-05,0.0002114704281053856,0.0007784302395937318,0.003123008154346118,0.54761304225564,864000.0,0.003901438393939971,0.10172859486728673,1,0.0007784302395937318,0.003123008154346118,0.39014383939399977
