Datetime,SOH,Cycle_Degradation,Calendar_Degradation,Cumulative_Cycle_Degradation,Cumulative_Calendar_Degradation,Cumulative_FEC,Cumulative_Calendar_Seconds,Total_Degradation,Mean_SOC_Absolute,Year,Global_Cycle_Degradation,Global_Calendar_Degradation,Global_Total_Degradation
2023-04-05 22:45:00+00:00,95.55370187887033,1.26653565004388e-05,7.727408445483811e-05,0.01105304732431389,0.03340993388698263,100.88893410635755,23500800.0,0.04446298121129677,0.12250334218555226,16,0.06491071975574399,0.27957692553857977,4.446298121129672
2023-04-06 22:45:00+00:00,95.54040745076068,4.5186764850184514e-05,8.775751624611138e-05,0.011098234089164074,0.03349769140322874,101.67951830635755,23587200.0,0.04459592549239311,0.4283543370932222,16,0.06495590652059417,0.2796646830548259,4.459592549239318
2023-04-07 22:45:00+00:00,95.527002468468,4.5239765444371324e-05,8.881005748267113e-05,0.011143473854608446,0.03358650146071141,102.47303470635755,23673600.0,0.04472997531532008,0.40634827726581974,16,0.06500114628603855,0.27975349311230857,4.472997531532002
2023-04-08 22:45:00+00:00,95.51353141556498,4.507180644144619e-05,8.963872258859762e-05,0.011188545661049891,0.03367614018330001,103.26702450635756,23760000.0,0.044864685844350105,0.4027000865008008,16,0.06504621809248,0.2798431318348972,4.486468584435016
2023-04-09 22:45:00+00:00,95.50011083012447,4.472403283413381e-05,8.948182157098447e-05,0.011233269693884025,0.033765622004870995,104.06183030635756,23846400.0,0.04499889169875526,0.3859266330860404,16,0.06509094212531413,0.27993261365646815,4.49988916987553
2023-04-10 22:45:00+00:00,95.48657705187371,4.485749103662753e-05,9.048029147094486e-05,0.011278127184920652,0.033856102296341936,104.85749230635757,23932800.0,0.04513422948126289,0.3967373933871852,16,0.06513579961635076,0.2800230939479391,4.513422948126291
2023-04-11 22:45:00+00:00,95.47233003588849,5.3374115943119215e-05,8.909604390916729e-05,0.011331501300863772,0.0339451983402511,105.85033052169396,24019200.0,0.04527669964111514,0.36356629897206366,16,0.06518917373229388,0.2801121899918483,4.52766996411151
2023-04-12 22:45:00+00:00,95.45907215626592,4.435729045465033e-05,8.822150577099293e-05,0.011375858591318422,0.034033419846022095,106.64606992169396,24105600.0,0.04540927843734077,0.31470510492419085,16,0.06523353102274854,0.28020041149761926,4.540927843734082
2023-04-13 22:45:00+00:00,95.45101207706476,3.084123586246326e-06,7.751666842540664e-05,0.011378942714904668,0.0341109365144475,106.75292907223671,24192000.0,0.04548987922935244,0.10804948492655463,16,0.06523661514633479,0.2802779281660447,4.54898792293524
2023-04-14 22:45:00+00:00,95.4423801951547,9.27588190621512e-06,7.704293719438728e-05,0.011388218596810882,0.034187979451641884,106.99023879262839,24278400.0,0.04557619804845303,0.11783125386025617,16,0.06524589102824101,0.2803549711032391,4.557619804845302
2023-04-15 22:45:00+00:00,95.4290596325992,4.4048777470200425e-05,8.915684808462634e-05,0.011432267374281083,0.03427713629972651,107.78587229262838,24364800.0,0.04570940367400789,0.38733081757762244,16,0.06528993980571121,0.28044412795132373,4.5709403674007945
2023-04-16 22:45:00+00:00,95.42089843284964,5.1082554076897444e-06,7.650374208797592e-05,0.011437375629688773,0.03435364004181448,107.93530060202728,24451200.0,0.045791015671503565,0.11895918666782779,16,0.0652950480611189,0.2805206316934117,4.57910156715036
2023-04-17 22:45:00+00:00,95.40759912757977,4.377751647892096e-05,8.921553621974433e-05,0.011481153146167693,0.034442855578034226,108.72896970202729,24537600.0,0.045924008724202214,0.4189936029645316,16,0.06533882557759782,0.28060984722963145,4.592400872420228
2023-04-18 22:45:00+00:00,95.39423721243412,4.3791734016450216e-05,8.982741744007318e-05,0.011524944880184143,0.0345326829954743,109.52493710202728,24624000.0,0.04605762787565881,0.41548461448249374,16,0.06538261731161427,0.2806996746470715,4.6057627875658795
2023-04-19 22:45:00+00:00,95.38087476386221,4.364860690780864e-05,8.997587881128205e-05,0.011568593487091952,0.03462265887428558,110.32111240202728,24710400.0,0.04619125236137789,0.3990017559825345,16,0.06542626591852208,0.2807896505258828,4.619125236137791
2023-04-20 22:45:00+00:00,95.3673332459322,4.359895707485478e-05,9.181622222518737e-05,0.011612192444166806,0.034714475096510766,111.11871210202727,24796800.0,0.046326667540677935,0.44420298878720815,16,0.06546986487559693,0.280881466748108,4.632666754067799
2023-04-21 22:45:00+00:00,95.35401185625648,4.3238492620084585e-05,8.997540413724906e-05,0.01165543093678689,0.03480445050064802,111.91358870202728,24883200.0,0.04645988143743529,0.4249672054978566,16,0.06551310336821702,0.28097144215224523,4.645988143743523
2023-04-22 22:45:00+00:00,95.34073569431155,4.316872366498054e-05,8.959289578428942e-05,0.01169859966045187,0.0348940433964323,112.70933950202729,24969600.0,0.046592643056884486,0.41239957789913256,16,0.065556272091882,0.28106103504802954,4.659264305688453
2023-04-23 22:45:00+00:00,95.32875910269263,3.460187968147912e-05,8.516403650766793e-05,0.01173320154013335,0.034979207432939974,113.42097120920334,25056000.0,0.046712408973073716,0.25842015665840035,16,0.06559087397156348,0.2811461990845372,4.671240897307371
2023-04-24 22:45:00+00:00,95.31981898718213,1.087735437281735e-05,7.852380073215213e-05,0.011744078894506167,0.035057731233672125,113.68515075395302,25142400.0,0.046801810128178634,0.15467398352150344,16,0.06560175132593629,0.28122472288526934,4.680181012817869
2023-04-25 22:45:00+00:00,95.30689202402478,4.359001887050022e-05,8.567961270295814e-05,0.011787668913376667,0.03514341084637508,114.53948860837527,25228800.0,0.04693107975975219,0.3164984811192511,16,0.06564534134480679,0.2813104024979723,4.693107975975224
