Datetime,SOH,Cycle_Degradation,Calendar_Degradation,Cumulative_Cycle_Degradation,Cumulative_Calendar_Degradation,Cumulative_FEC,Cumulative_Calendar_Seconds,Total_Degradation,Mean_SOC_Absolute,Year,Global_Cycle_Degradation,Global_Calendar_Degradation,Global_Total_Degradation
2023-09-20 22:45:00+00:00,96.75557755255961,4.90726104565969e-05,0.00011431165337485912,0.010319184117736335,0.022125040356667805,88.69930036984766,11836800.0,0.03244422447440387,0.3941091631610297,15,0.06533888767971704,0.267105981711346,3.2444224474403853
2023-09-21 22:45:00+00:00,96.73958811386318,4.837909794193305e-05,0.00011151528902231917,0.010367563215678268,0.022236555645690124,89.49424506984766,11923200.0,0.03260411886136816,0.3364457165480725,15,0.06538726677765898,0.2672174970003683,3.260411886136822
2023-09-22 22:45:00+00:00,96.72349011669775,4.8233496998525245e-05,0.00011274647465578151,0.010415796712676794,0.022349302120345905,90.29009546984766,12009600.0,0.03276509883302248,0.36947671441891083,15,0.0654355002746575,0.26733024347502404,3.2765098833022535
2023-09-23 22:45:00+00:00,96.71009560119126,2.7686378239164635e-05,0.00010625877682583204,0.010443483090915959,0.022455560897171736,90.77039662613636,12096000.0,0.032899043988087406,0.23023496173440425,15,0.06546318665289666,0.2674365022518499,3.289904398808744
2023-09-24 22:45:00+00:00,96.69501785618355,4.181533982727313e-05,0.00010896211024981754,0.010485298430743232,0.022564523007421552,91.48085246280147,12182400.0,0.033049821438164484,0.30171422988008273,15,0.06550500199272394,0.2675454643620997,3.3049821438164457
2023-09-25 22:45:00+00:00,96.68057586835822,3.771243429786459e-05,0.00010670744395543534,0.010523010865041095,0.02267123045137699,92.13060935793021,12268800.0,0.033194241316417794,0.27318574027372944,15,0.06554271442702181,0.2676521718060551,3.3194241316417816
2023-09-26 22:45:00+00:00,96.66639039912053,3.4879232436560195e-05,0.00010697545994028365,0.010557890097477655,0.02277820591131727,92.76217949781802,12355200.0,0.033336096008794724,0.2813761453314007,15,0.06557759365945837,0.26775914726599537,3.33360960087947
2023-09-27 22:45:00+00:00,96.650543248173,4.748705001654421e-05,0.00011098445945882879,0.010605377147494198,0.0228891903707761,93.55768279781802,12441600.0,0.03349456751827007,0.38573794321015736,15,0.06562508070947491,0.2678701317254542,3.349456751827006
2023-09-28 22:45:00+00:00,96.64109569477739,4.964381308121931e-07,9.397909582515492e-05,0.01060587358562501,0.022983169466601255,93.58649253758182,12528000.0,0.0335890430522261,0.09997354901278203,15,0.06562557714760572,0.26796411082127936,3.358904305222609
2023-09-29 22:45:00+00:00,96.63175400757068,0.0,9.341687206707073e-05,0.01060587358562501,0.023076586338668326,93.58649253758182,12614400.0,0.033682459924293195,0.09888322499999998,15,0.06562557714760572,0.26805752769334645,3.3682459924293227
2023-09-30 22:45:00+00:00,96.61625450456984,4.696300191174212e-05,0.00010803202809676378,0.010652836587536752,0.02318461836676509,94.37812553758181,12700800.0,0.03383745495430168,0.3811963091507229,15,0.06567254014951747,0.26816555972144324,3.383745495430162
2023-10-01 22:45:00+00:00,96.60702676657145,0.0,9.227737998386073e-05,0.010652836587536752,0.023276895746748953,94.37812553758181,12787200.0,0.033929732334285534,0.09879787499749981,15,0.06567254014951747,0.2682578371014271,3.392973233428549
2023-10-02 22:45:00+00:00,96.59636292251372,1.049134962057894e-05,9.614709095664575e-05,0.010663327937157331,0.0233730428377056,94.6684023637295,12873600.0,0.03403637077486277,0.14549120723141726,15,0.06568303149913805,0.2683539841923837,3.4036370774862803
2023-10-03 22:45:00+00:00,96.58225203034547,3.976798108761916e-05,0.00010134094059493492,0.01070309591824495,0.023474383778300533,95.41347020263504,12960000.0,0.034177479696545277,0.25003235587084566,15,0.06572279948022568,0.26845532513297865,3.4177479696545277
2023-10-04 22:45:00+00:00,96.57005938881434,2.549640354872164e-05,9.643001176246765e-05,0.010728592321793672,0.023570813790063,95.90322297384124,13046400.0,0.034299406111856556,0.18234119440878938,15,0.0657482958837744,0.2685517551447411,3.429940611185657
2023-10-05 22:45:00+00:00,96.55973068453787,1.0271446495052994e-05,9.301559626969536e-05,0.010738863768288726,0.023663829386332696,96.13353234823188,13132800.0,0.0344026931546213,0.12555069771555866,15,0.06575856733026945,0.2686447707410108,3.4402693154621318
2023-10-06 22:45:00+00:00,96.55064493864172,0.0,9.085745896136987e-05,0.010738863768288726,0.023754686845294064,96.13353234823188,13219200.0,0.034493550613582724,0.09873117500000002,15,0.06575856733026945,0.26873562819997215,3.4493550613582755
2023-10-07 22:45:00+00:00,96.53695163000712,3.5563729647768215e-05,0.00010136935669835072,0.010774427497936494,0.023856056201992416,96.76032991958532,13305600.0,0.03463048369992883,0.24114879010802084,15,0.06579413105991723,0.2688369975566705,3.463048369992876
2023-10-08 22:45:00+00:00,96.52468163864934,2.5786417251272684e-05,9.691349632649576e-05,0.010800213915187767,0.02395296969831891,97.22664016387822,13392000.0,0.034753183613506544,0.16741675422279004,15,0.0658199174771685,0.268933911052997,3.4753183613506593
2023-10-09 22:45:00+00:00,96.51559738707205,0.0,9.084251577300511e-05,0.010800213915187767,0.024043812214091916,97.22664016387822,13478400.0,0.034844026129279504,0.09880440000000001,15,0.0658199174771685,0.26902475356877004,3.4844026129279513
2023-10-10 22:45:00+00:00,96.5014274104489,3.844910998130381e-05,0.00010325065625016967,0.01083866302516907,0.024147062870342084,97.92607306161902,13564800.0,0.034985725895510966,0.30741461811713555,15,0.0658583665871498,0.2691280042250202,3.4985725895511024
