Modules,Battery_kWh,Tilt,Azimuth,Grid_Independence_%,NPV_Eur,ZEB_Ratio
7.0,13.0,50.0,180,62.78663436506717,-798.4737434803494,0.7856840755938806
7.0,5.0,40.0,180,53.61166998002081,3761.924260096095,0.7971466131092054
7.0,13.0,40.0,180,62.55135973361637,-761.1993485204866,0.7971466131092054
7.0,14.0,50.0,180,63.095796345990664,-1468.4774716325194,0.7856840755938806
7.0,3.0,35.0,180,47.860502627727975,4432.953696085952,0.7968496962234086
7.0,13.0,45.0,180,62.76262382447253,-755.6147439365882,0.793459174182498
7.0,4.0,35.0,180,50.83867010153818,4110.110784259846,0.7968496962234086
7.0,12.0,40.0,180,62.21326041466955,-94.97980807528666,0.7971466131092054
7.0,2.0,35.0,180,44.663211538201175,4727.244828483067,0.7968496962234086
7.0,6.0,40.0,180,56.19124148120076,3386.423240073438,0.7971466131092054
7.0,0.0,30.0,180,36.98514014613467,6096.437827495052,0.7925040543081792
7.0,0.0,40.0,180,36.83852475151329,6103.917273278161,0.7971466131092054
7.0,11.0,40.0,180,61.794007933134864,560.7617652983738,0.7971466131092054
7.0,1.0,30.0,180,41.22246000986786,4964.778909782783,0.7925040543081792
7.0,1.0,35.0,180,41.21617276332415,4989.207020845213,0.7968496962234086
7.0,3.0,40.0,180,47.822287390537575,4429.439613042899,0.7971466131092054
7.0,8.0,40.0,180,59.552442845641984,2400.998663425239,0.7971466131092054
7.0,4.0,40.0,180,50.82420730504838,4109.689188157987,0.7971466131092054
7.0,2.0,40.0,180,44.607464632636805,4721.41779970879,0.7971466131092054
7.0,0.0,35.0,180,36.93653627980422,6115.283664339388,0.7968496962234086
7.0,9.0,45.0,180,60.58456044319607,1802.5767950484737,0.793459174182498
7.0,14.0,45.0,180,63.06652537654989,-1426.3192969344009,0.793459174182498
7.0,11.0,45.0,180,61.927758175990746,556.2791913456134,0.793459174182498
7.0,10.0,40.0,180,61.21621992034694,1196.0178746343158,0.7971466131092054
7.0,9.0,40.0,180,60.517973437459126,1815.7716120111222,0.7971466131092054
7.0,8.0,45.0,180,59.56443958967177,2380.7167756315694,0.793459174182498
7.0,7.0,40.0,180,58.17823716230377,2933.3385898082724,0.7971466131092054
7.0,12.0,45.0,180,62.4049803575429,-91.93294838760778,0.793459174182498
7.0,14.0,40.0,180,62.833737103422315,-1434.6515056808435,0.7971466131092054
7.0,1.0,40.0,180,41.146849827222155,4981.599050526556,0.7971466131092054
7.0,12.0,50.0,180,62.41354116653382,-136.7805829920585,0.7856840755938806
7.0,10.0,45.0,180,61.3248839960858,1188.284370128256,0.793459174182498
