Modules,Battery_kWh,Tilt,Azimuth,Grid_Independence_%,NPV_Eur,ZEB_Ratio
7.0,4.0,25.0,180,61.168230480757416,8216.830084841524,1.1994741261411275
7.0,11.0,35.0,180,82.32504774559854,6042.3399565534055,1.2085432963431972
7.0,2.0,30.0,180,52.115899627463705,8506.743934051297,1.20754148771196
7.0,11.0,45.0,180,82.51720617025475,5954.162376416869,1.1894041182638437
7.0,4.0,35.0,180,60.99179984061788,8246.01431825139,1.2085432963431972
7.0,9.0,35.0,180,79.62465284831934,7112.417591966161,1.2085432963431972
7.0,10.0,40.0,180,81.25632730583214,6577.833334505501,1.2024830341369597
7.0,0.0,35.0,180,42.16833628634602,9215.175246470466,1.2085432963431972
7.0,12.0,40.0,180,83.41654008100286,5437.762521108451,1.2024830341369597
7.0,10.0,35.0,180,81.17025982095491,6602.708781197897,1.2085432963431972
7.0,9.0,40.0,180,79.6672786651212,7082.0193354416515,1.2024830341369597
7.0,8.0,35.0,180,77.01590956942962,7484.552052371813,1.2085432963431972
7.0,1.0,35.0,180,47.25221919832424,8589.791872738853,1.2085432963431972
7.0,12.0,35.0,180,83.16776604516423,5441.525644919,1.2085432963431972
7.0,11.0,40.0,180,82.4893873264835,6027.635527160013,1.2024830341369597
7.0,13.0,45.0,180,84.27199482014012,4761.531108962021,1.1894041182638437
7.0,7.0,30.0,180,73.5651618296797,7742.17347460773,1.20754148771196
7.0,13.0,50.0,180,84.29215324742826,4648.027832760844,1.1696404236061066
7.0,4.0,30.0,180,61.115408237313254,8256.7049699893,1.20754148771196
7.0,3.0,35.0,180,56.55135979038197,8378.79463990387,1.2085432963431972
7.0,7.0,35.0,180,73.49809374250403,7738.853925407516,1.2085432963431972
7.0,3.0,30.0,180,56.68761602178013,8391.147471903852,1.20754148771196
7.0,13.0,35.0,180,83.73370493498824,4804.799023775029,1.2085432963431972
7.0,12.0,45.0,180,83.51771332248418,5373.780326417355,1.1894041182638437
7.0,14.0,35.0,180,84.11351914211434,4144.032036881737,1.2085432963431972
7.0,14.0,45.0,180,84.85370119259397,4126.900518280101,1.1894041182638437
7.0,15.0,55.0,180,85.43159061953153,3222.677495144988,1.14353260236791
7.0,5.0,30.0,180,65.4054359945761,8103.78077851112,1.20754148771196
7.0,0.0,20.0,180,42.51390988918794,9120.912574915108,1.1844591420991504
7.0,6.0,35.0,180,69.45063581372946,7923.947925787292,1.2085432963431972
7.0,14.0,50.0,180,84.93528142640126,4021.3813945346583,1.1696404236061066
7.0,5.0,35.0,180,65.28367380092064,8093.306841002972,1.2085432963431972
7.0,15.0,40.0,180,84.91299316079194,3501.6640977360275,1.2024830341369597
7.0,2.0,35.0,180,51.97095517402537,8493.306704377836,1.2085432963431972
7.0,15.0,50.0,180,85.4187051267734,3374.100445943974,1.1696404236061066
7.0,0.0,30.0,180,42.338948190806335,9232.133143864281,1.20754148771196
7.0,1.0,25.0,180,47.50733804466002,8570.746078451995,1.1994741261411275
7.0,2.0,25.0,180,52.20379024039481,8471.427370148527,1.1994741261411275
7.0,14.0,40.0,180,84.57335370895261,4167.621582127001,1.2024830341369597
7.0,15.0,45.0,180,85.25092902796754,3468.447965538879,1.1894041182638437
7.0,3.0,25.0,180,56.75641756038816,8353.397896399407,1.1994741261411275
7.0,13.0,40.0,180,84.11309555725259,4817.9632702993495,1.2024830341369597
7.0,0.0,25.0,180,42.45626067802802,9200.766500553445,1.1994741261411275
7.0,1.0,30.0,180,47.40722151898523,8604.519255089006,1.20754148771196
7.0,5.0,25.0,180,65.4389013243957,8061.3021496532,1.1994741261411275
7.0,15.0,35.0,180,84.37911612428124,3468.4744457479337,1.2085432963431972
7.0,6.0,30.0,180,69.55126808080576,7931.642870605113,1.20754148771196
